name,qualName,term_label
ratioOfAbsorbance260_280,http://data.ggbn.org/schemas/ggbn/terms/ratioOfAbsorbance260_280,
annealingTemp,http://rs.gbif.org/terms/miqe/annealingTemp,
annealingTempUnit,http://rs.gbif.org/terms/miqe/annealingTempUnit,
probeReporter,http://rs.gbif.org/terms/miqe/probeReporter,
probeQuencher,http://rs.gbif.org/terms/miqe/probeQuencher,
ampliconSize,http://rs.gbif.org/terms/miqe/ampliconSize,
thresholdQuantificationCycle,http://rs.gbif.org/terms/miqe/thresholdQuantificationCycle,
baselineValue,http://rs.gbif.org/terms/miqe/baselineValue,
quantificationCycle,http://rs.gbif.org/terms/miqe/quantificationCycle,
automaticThresholdQuantificationCycle,http://rs.gbif.org/terms/miqe/automaticThresholdQuantificationCycle,
automaticBaselineValue,http://rs.gbif.org/terms/miqe/automaticBaselineValue,
contaminationAssessment,http://rs.gbif.org/terms/miqe/contaminationAssessment,
partitionVolume,http://rs.gbif.org/terms/miqe/partitionVolume,
partitionVolumeUnit,http://rs.gbif.org/terms/miqe/partitionVolumeUnit,
estimatedNumberOfCopies,http://rs.gbif.org/terms/miqe/estimatedNumberOfCopies,
amplificationReactionVolume,http://rs.gbif.org/terms/miqe/amplificationReactionVolume,
amplificationReactionVolumeUnit,http://rs.gbif.org/terms/miqe/amplificationReactionVolumeUnit,
pcr_analysis_software,http://rs.gbif.org/terms/miqe/pcr_analysis_software,
experimentalVariance,http://rs.gbif.org/terms/miqe/experimentalVariance,
pcr_primer_lod,http://rs.gbif.org/terms/miqe/pcr_primer_lod,
pcr_primer_loq,http://rs.gbif.org/terms/miqe/pcr_primer_loq,
