#This mapping was created following and expanding upon the SSSOM guidance: https://mapping-commons.github.io/sssom/spec/																
#dcterms:license: CC-0																
#version: 2.0.0																
#creator_id:																
#  - https://orcid.org/0009-0004-7916-9833																
#creator_name:																
#  - Camila Babo																
#curie_map:																
# - dnaextension: https://rs.gbif.org/extension/gbif/1.0/dna_derived_data_2024-07-11.xml#																
#  - dnaextensionversion: https://rs.gbif.org/extension/gbif/1.0/dna_derived_data_																
#  - dwc: http://rs.tdwg.org/dwc/terms/																
# - dwcversion:http://rs.tdwg.org/dwc/doc/list/																
#  - MIXS: https://w3id.org/mixs/																
#  - MIXSversion: https://github.com/GenomicsStandardsConsortium/mixs/blob/mixs6.0.0/model/schema/mixs.yaml																
# - ggbn: https://www.ggbn.org/ggbn_portal/site/wf?p=ggbn:																
# - ggbnversion: https://www.ggbn.org/ggbn_portal/site/wf?p=																
#  - orcid: https://orcid.org/																
#  - skos: http://www.w3.org/2004/02/skos/core																
#extension_definitions:																
#  - slot_name: ex_syntax_predicate_id																
#  - property: http://sssom.invalid/ex_syntax_predicate_id																
#  - type_hint: http://www.w3.org/2001/XMLSchema#string																
#  - slot_name: ext_syntax_comment																
#  - property: http://sssom.invalid/ext_syntax_comment																
#  - type_hint: http://www.w3.org/2001/XMLSchema#string																
subject_id	subject_label	subject_category	ex_syntax_predicate_id	object_id	object_label	object_category	match_type	creator_id	subject_source	subject_source_version	object_source	object_source_version	mapping_date	confidence	mapping_justification	ex_syntax_comment
MIXS:0000024	estimated size	dnaextension:estimated_size	skos:exactMatch	MIXS:0000024	estimated_size	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:estimated_size	dnaextensionversion:2024-07-11.xml#estimated_size	MIXSversion:mixs.yaml	6.2.0	2025-07-09	1	ManualMappingCuration	
MIXS:0000025	reference for biomaterial	dnaextension:ref_biomaterial	skos:exactMatch	MIXS:0000025	ref_biomaterial	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:ref_biomaterial	dnaextensionversion:2024-07-11.xml#ref_biomaterial	MIXSversion:mixs.yaml	6.2.0	2025-07-09	1	ManualMappingCuration	
MIXS:0000026	source material identifiers	dnaextension:source_mat_id	skos:exactMatch	MIXS:0000026	source_mat_id	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:source_mat_id	dnaextensionversion:2024-07-11.xml#source_mat_id	MIXSversion:mixs.yaml	6.2.0	2025-07-09	1	ManualMappingCuration	
MIXS:0000027	known pathogenicity	dnaextension:pathogenicity	skos:exactMatch	MIXS:0000027	pathogenicity	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:pathogenicity	dnaextensionversion:2024-07-11.xml#pathogenicity	MIXSversion:mixs.yaml	6.2.0	2025-07-09	1	ManualMappingCuration	
MIXS:0000028	observed biotic relationship	dnaextension:biotic_relationship	skos:exactMatch	MIXS:0000028	biotic_relationship	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:biotic_relationship	dnaextensionversion:2024-07-11.xml#biotic_relationship	MIXSversion:mixs.yaml	6.2.0	2025-07-09	1	ManualMappingCuration	Both follow a strict vocabullary based on Genomic Standards Consortium MIxS Data Standard's BioticRelationshipEnum (https://genomicsstandardsconsortium.github.io/mixs/BioticRelationshipEnum/)
MIXS:0000029	host scientific name	dnaextension:specific_host	skos:broadMatch	MIXS:0000029	specific_host	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:specific_host	dnaextensionversion:2024-07-11.xml#specific_host	MIXSversion:mixs.yaml	6.2.0	2025-07-09	0.6	ManualMappingCuration	The syntactic scope is the exact same. However the syntactic representation in different. Here, the object MIxS may receive two values the host scientific name and/or comma-separated to its NCBI taxonomic ID (host scientific name, taxonomy ID); while the subject expects only one, the latter (NCBI taxid)
MIXS:0000030	host specificity or range	dnaextension:host_spec_range	skos:exactMatch	MIXS:0000030	host_spec_range	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:host_spec_range	dnaextensionversion:2024-07-11.xml#host_spec_range	MIXSversion:mixs.yaml	6.2.0	2025-07-09	1	ManualMappingCuration	
MIXS:0000031	host disease status	dnaextension:host_disease_stat	skos:exactMatch	MIXS:0000031	host_disease_stat	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:host_disease_stat	dnaextensionversion:2024-07-11.xml#host_disease_stat	MIXSversion:mixs.yaml	6.2.0	2025-07-09	1	ManualMappingCuration	Both expect a value from the Human Disease Ontology for humans (https://www.disease-ontology.org), while non-human hosts are free text.
MIXS:0000032	trophic level	dnaextension:trophic_level	skos:exactMatch	MIXS:0000032	trophic_level	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:trophic_level	dnaextensionversion:2024-07-11.xml#trophic_level	MIXSversion:mixs.yaml	6.2.0	2025-07-15	1	ManualMappingCuration	Both standards expect values from a controlled vocabulary. Both controlled vocabularies are the same.
MIXS:0000033	propagation	dnaextension:propagation	skos:exactMatch	MIXS:0000033	propagation	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:propagation	dnaextensionversion:2024-07-11.xml#propagation	MIXSversion:mixs.yaml	6.2.0	2025-07-15	0.9	ManualMappingCuration	For both standards, values for this field is specific to the taxa associated with the entry. For virus/paghes: lytic, lysogenic, temperate, obligately lytic are allowed. For plasmid: incompatibility group. For eukaryote: asexual, sexual; other more specific values (e.g., incompatibility group) are also allowed.
